Step,Context,OpponentMove,MyMove,Reward,WinRate
1,Rock,Rock,Rock,0.0,0.000
2,Rock,Rock,Paper,1.0,0.500
3,Rock,Rock,Rock,0.0,0.333
4,Rock,Rock,Rock,0.0,0.250
5,Paper,Paper,Paper,0.0,0.200
6,Rock,Rock,Rock,0.0,0.167
7,Scissors,Scissors,Paper,-0.5,0.143
8,Scissors,Scissors,Rock,1.0,0.250
9,Paper,Paper,Paper,0.0,0.222
10,Rock,Rock,Paper,1.0,0.300
11,Paper,Paper,Paper,0.0,0.273
12,Rock,Rock,Rock,0.0,0.250
13,Rock,Rock,Rock,0.0,0.231
14,Rock,Rock,Paper,1.0,0.286
15,Rock,Rock,Paper,1.0,0.333
16,Scissors,Scissors,Paper,-0.5,0.312
17,Rock,Rock,Rock,0.0,0.294
18,Paper,Paper,Paper,0.0,0.278
19,Rock,Rock,Paper,1.0,0.316
20,Rock,Rock,Paper,1.0,0.350
21,Rock,Rock,Paper,1.0,0.381
22,Rock,Rock,Paper,1.0,0.409
23,Paper,Paper,Paper,0.0,0.391
24,Rock,Rock,Rock,0.0,0.375
25,Paper,Paper,Paper,0.0,0.360
26,Scissors,Scissors,Rock,1.0,0.385
27,Paper,Paper,Paper,0.0,0.370
28,Scissors,Scissors,Rock,1.0,0.393
29,Paper,Paper,Rock,-0.5,0.379
30,Rock,Rock,Paper,1.0,0.400
31,Rock,Rock,Paper,1.0,0.419
32,Scissors,Scissors,Paper,-0.5,0.406
33,Scissors,Scissors,Rock,1.0,0.424
34,Rock,Rock,Rock,0.0,0.412
35,Rock,Rock,Paper,1.0,0.429
36,Rock,Rock,Paper,1.0,0.444
37,Rock,Rock,Paper,1.0,0.459
38,Rock,Rock,Paper,1.0,0.474
39,Rock,Rock,Paper,1.0,0.487
40,Scissors,Scissors,Paper,-0.5,0.475
41,Paper,Paper,Rock,-0.5,0.463
42,Rock,Rock,Paper,1.0,0.476
43,Rock,Rock,Paper,1.0,0.488
44,Scissors,Scissors,Paper,-0.5,0.477
45,Rock,Rock,Rock,0.0,0.467
46,Paper,Paper,Paper,0.0,0.457
47,Rock,Rock,Paper,1.0,0.468
48,Rock,Rock,Paper,1.0,0.479
49,Rock,Rock,Paper,1.0,0.490
50,Scissors,Scissors,Paper,-0.5,0.480
51,Rock,Rock,Rock,0.0,0.471
52,Rock,Rock,Paper,1.0,0.481
53,Rock,Rock,Paper,1.0,0.491
54,Paper,Paper,Rock,-0.5,0.481
55,Rock,Rock,Paper,1.0,0.491
56,Rock,Rock,Paper,1.0,0.500
57,Rock,Rock,Paper,1.0,0.509
58,Rock,Rock,Paper,1.0,0.517
59,Rock,Rock,Paper,1.0,0.525
60,Rock,Rock,Paper,1.0,0.533
61,Rock,Rock,Paper,1.0,0.541
62,Rock,Rock,Paper,1.0,0.548
63,Scissors,Scissors,Paper,-0.5,0.540
64,Rock,Rock,Rock,0.0,0.531
65,Rock,Rock,Paper,1.0,0.538
66,Scissors,Scissors,Paper,-0.5,0.530
67,Paper,Paper,Rock,-0.5,0.522
68,Paper,Paper,Paper,0.0,0.515
69,Rock,Rock,Rock,0.0,0.507
70,Rock,Rock,Paper,1.0,0.514
71,Rock,Rock,Paper,1.0,0.521
72,Rock,Rock,Paper,1.0,0.528
73,Rock,Rock,Paper,1.0,0.534
74,Rock,Rock,Paper,1.0,0.541
75,Rock,Rock,Rock,0.0,0.533
76,Rock,Rock,Paper,1.0,0.539
77,Rock,Rock,Paper,1.0,0.545
78,Paper,Paper,Paper,0.0,0.538
79,Paper,Paper,Paper,0.0,0.532
80,Scissors,Scissors,Paper,-0.5,0.525
81,Rock,Rock,Rock,0.0,0.519
82,Paper,Paper,Rock,-0.5,0.512
83,Rock,Rock,Rock,0.0,0.506
84,Rock,Rock,Paper,1.0,0.512
85,Rock,Rock,Paper,1.0,0.518
86,Rock,Rock,Paper,1.0,0.523
87,Rock,Rock,Paper,1.0,0.529
88,Rock,Rock,Paper,1.0,0.534
89,Rock,Rock,Paper,1.0,0.539
90,Paper,Paper,Paper,0.0,0.533
91,Scissors,Scissors,Paper,-0.5,0.527
92,Paper,Paper,Rock,-0.5,0.522
93,Rock,Rock,Paper,1.0,0.527
94,Paper,Paper,Paper,0.0,0.521
95,Rock,Rock,Paper,1.0,0.526
96,Rock,Rock,Paper,1.0,0.531
97,Rock,Rock,Paper,1.0,0.536
98,Paper,Paper,Rock,-0.5,0.531
99,Rock,Rock,Paper,1.0,0.535
100,Rock,Rock,Paper,1.0,0.540
101,Rock,Rock,Paper,1.0,0.545
102,Scissors,Scissors,Paper,-0.5,0.539
103,Rock,Rock,Rock,0.0,0.534
104,Rock,Rock,Paper,1.0,0.538
105,Paper,Paper,Paper,0.0,0.533
106,Rock,Rock,Paper,1.0,0.538
107,Rock,Rock,Paper,1.0,0.542
108,Rock,Rock,Paper,1.0,0.546
109,Rock,Rock,Paper,1.0,0.550
110,Rock,Rock,Paper,1.0,0.555
111,Rock,Rock,Paper,1.0,0.559
112,Scissors,Scissors,Paper,-0.5,0.554
113,Rock,Rock,Paper,1.0,0.558
114,Rock,Rock,Paper,1.0,0.561
115,Rock,Rock,Paper,1.0,0.565
116,Rock,Rock,Paper,1.0,0.569
117,Rock,Rock,Paper,1.0,0.573
118,Rock,Rock,Paper,1.0,0.576
119,Scissors,Scissors,Rock,1.0,0.580
120,Rock,Rock,Paper,1.0,0.583
121,Rock,Rock,Paper,1.0,0.587
122,Rock,Rock,Paper,1.0,0.590
123,Paper,Paper,Paper,0.0,0.585
124,Rock,Rock,Paper,1.0,0.589
125,Paper,Paper,Paper,0.0,0.584
126,Paper,Paper,Paper,0.0,0.579
127,Paper,Paper,Paper,0.0,0.575
128,Rock,Rock,Paper,1.0,0.578
129,Paper,Paper,Paper,0.0,0.574
130,Rock,Rock,Paper,1.0,0.577
131,Rock,Rock,Paper,1.0,0.580
132,Rock,Rock,Paper,1.0,0.583
133,Rock,Rock,Paper,1.0,0.586
134,Rock,Rock,Paper,1.0,0.590
135,Rock,Rock,Paper,1.0,0.593
136,Rock,Rock,Paper,1.0,0.596
137,Rock,Rock,Paper,1.0,0.599
138,Rock,Rock,Paper,1.0,0.601
139,Paper,Paper,Paper,0.0,0.597
140,Scissors,Scissors,Paper,-0.5,0.593
141,Rock,Rock,Paper,1.0,0.596
142,Scissors,Scissors,Paper,-0.5,0.592
143,Scissors,Scissors,Paper,-0.5,0.587
144,Paper,Paper,Paper,0.0,0.583
145,Rock,Rock,Paper,1.0,0.586
146,Rock,Rock,Paper,1.0,0.589
147,Rock,Rock,Paper,1.0,0.592
148,Rock,Rock,Paper,1.0,0.595
149,Rock,Rock,Paper,1.0,0.597
150,Rock,Rock,Paper,1.0,0.600
151,Paper,Paper,Paper,0.0,0.596
152,Rock,Rock,Paper,1.0,0.599
153,Rock,Rock,Paper,1.0,0.601
154,Rock,Rock,Paper,1.0,0.604
155,Scissors,Scissors,Paper,-0.5,0.600
156,Rock,Rock,Paper,1.0,0.603
157,Paper,Paper,Paper,0.0,0.599
158,Scissors,Scissors,Paper,-0.5,0.595
159,Rock,Rock,Paper,1.0,0.597
160,Rock,Rock,Paper,1.0,0.600
161,Paper,Paper,Paper,0.0,0.596
162,Rock,Rock,Paper,1.0,0.599
163,Rock,Rock,Paper,1.0,0.601
164,Rock,Rock,Paper,1.0,0.604
165,Rock,Rock,Paper,1.0,0.606
166,Rock,Rock,Paper,1.0,0.608
167,Rock,Rock,Paper,1.0,0.611
168,Rock,Rock,Paper,1.0,0.613
169,Rock,Rock,Paper,1.0,0.615
170,Rock,Rock,Paper,1.0,0.618
171,Rock,Rock,Paper,1.0,0.620
172,Rock,Rock,Paper,1.0,0.622
173,Scissors,Scissors,Paper,-0.5,0.618
174,Rock,Rock,Paper,1.0,0.621
175,Rock,Rock,Paper,1.0,0.623
176,Rock,Rock,Paper,1.0,0.625
177,Rock,Rock,Paper,1.0,0.627
178,Rock,Rock,Paper,1.0,0.629
179,Paper,Paper,Paper,0.0,0.626
180,Rock,Rock,Paper,1.0,0.628
181,Scissors,Scissors,Paper,-0.5,0.624
182,Rock,Rock,Paper,1.0,0.626
183,Rock,Rock,Paper,1.0,0.628
184,Scissors,Scissors,Paper,-0.5,0.625
185,Rock,Rock,Paper,1.0,0.627
186,Rock,Rock,Paper,1.0,0.629
187,Rock,Rock,Paper,1.0,0.631
188,Rock,Rock,Paper,1.0,0.633
189,Rock,Rock,Paper,1.0,0.635
190,Paper,Paper,Paper,0.0,0.632
191,Rock,Rock,Paper,1.0,0.634
192,Rock,Rock,Paper,1.0,0.635
193,Paper,Paper,Paper,0.0,0.632
194,Rock,Rock,Paper,1.0,0.634
195,Rock,Rock,Paper,1.0,0.636
196,Rock,Rock,Paper,1.0,0.638
197,Rock,Rock,Paper,1.0,0.640
198,Paper,Paper,Paper,0.0,0.636
199,Scissors,Scissors,Paper,-0.5,0.633
200,Rock,Rock,Paper,1.0,0.635
201,Paper,Paper,Paper,0.0,0.632
202,Scissors,Scissors,Paper,-0.5,0.629
203,Rock,Rock,Paper,1.0,0.631
204,Paper,Paper,Rock,-0.5,0.627
205,Paper,Paper,Paper,0.0,0.624
206,Paper,Paper,Paper,0.0,0.621
207,Rock,Rock,Paper,1.0,0.623
208,Paper,Paper,Paper,0.0,0.620
209,Scissors,Scissors,Paper,-0.5,0.617
210,Rock,Rock,Paper,1.0,0.619
211,Rock,Rock,Paper,1.0,0.621
212,Rock,Rock,Paper,1.0,0.623
213,Rock,Rock,Paper,1.0,0.624
214,Paper,Paper,Paper,0.0,0.621
215,Rock,Rock,Paper,1.0,0.623
216,Rock,Rock,Paper,1.0,0.625
217,Rock,Rock,Paper,1.0,0.627
218,Scissors,Scissors,Paper,-0.5,0.624
219,Rock,Rock,Paper,1.0,0.626
220,Rock,Rock,Rock,0.0,0.623
221,Rock,Rock,Paper,1.0,0.624
222,Scissors,Scissors,Paper,-0.5,0.622
223,Paper,Paper,Rock,-0.5,0.619
224,Rock,Rock,Paper,1.0,0.621
225,Rock,Rock,Paper,1.0,0.622
226,Rock,Rock,Paper,1.0,0.624
227,Rock,Rock,Paper,1.0,0.626
228,Paper,Paper,Paper,0.0,0.623
229,Rock,Rock,Paper,1.0,0.624
230,Scissors,Scissors,Paper,-0.5,0.622
231,Scissors,Scissors,Paper,-0.5,0.619
232,Rock,Rock,Paper,1.0,0.621
233,Rock,Rock,Paper,1.0,0.622
234,Rock,Rock,Paper,1.0,0.624
235,Paper,Paper,Paper,0.0,0.621
236,Rock,Rock,Paper,1.0,0.623
237,Rock,Rock,Paper,1.0,0.624
238,Scissors,Scissors,Paper,-0.5,0.622
239,Rock,Rock,Paper,1.0,0.623
240,Rock,Rock,Paper,1.0,0.625
241,Rock,Rock,Paper,1.0,0.627
242,Rock,Rock,Paper,1.0,0.628
243,Rock,Rock,Paper,1.0,0.630
244,Rock,Rock,Paper,1.0,0.631
245,Rock,Rock,Paper,1.0,0.633
246,Rock,Rock,Paper,1.0,0.634
247,Rock,Rock,Paper,1.0,0.636
248,Rock,Rock,Paper,1.0,0.637
249,Rock,Rock,Paper,1.0,0.639
250,Rock,Rock,Paper,1.0,0.640
251,Rock,Rock,Paper,1.0,0.641
252,Rock,Rock,Paper,1.0,0.643
253,Paper,Paper,Paper,0.0,0.640
254,Rock,Rock,Paper,1.0,0.642
255,Scissors,Scissors,Paper,-0.5,0.639
256,Scissors,Scissors,Paper,-0.5,0.637
257,Rock,Rock,Paper,1.0,0.638
258,Rock,Rock,Paper,1.0,0.640
259,Paper,Paper,Rock,-0.5,0.637
260,Scissors,Scissors,Paper,-0.5,0.635
261,Scissors,Scissors,Paper,-0.5,0.632
262,Rock,Rock,Paper,1.0,0.634
263,Rock,Rock,Paper,1.0,0.635
264,Rock,Rock,Paper,1.0,0.636
265,Rock,Rock,Paper,1.0,0.638
266,Paper,Paper,Paper,0.0,0.635
267,Rock,Rock,Paper,1.0,0.637
268,Rock,Rock,Paper,1.0,0.638
269,Rock,Rock,Paper,1.0,0.639
270,Rock,Rock,Rock,0.0,0.637
271,Paper,Paper,Paper,0.0,0.635
272,Rock,Rock,Paper,1.0,0.636
273,Rock,Rock,Paper,1.0,0.637
274,Paper,Paper,Paper,0.0,0.635
275,Rock,Rock,Paper,1.0,0.636
276,Rock,Rock,Paper,1.0,0.638
277,Rock,Rock,Rock,0.0,0.635
278,Scissors,Scissors,Paper,-0.5,0.633
279,Paper,Paper,Paper,0.0,0.631
280,Rock,Rock,Paper,1.0,0.632
281,Scissors,Scissors,Paper,-0.5,0.630
282,Rock,Rock,Paper,1.0,0.631
283,Rock,Rock,Paper,1.0,0.633
284,Rock,Rock,Paper,1.0,0.634
285,Paper,Paper,Paper,0.0,0.632
286,Rock,Rock,Paper,1.0,0.633
287,Rock,Rock,Paper,1.0,0.634
288,Rock,Rock,Rock,0.0,0.632
289,Rock,Rock,Paper,1.0,0.633
290,Rock,Rock,Paper,1.0,0.634
291,Rock,Rock,Paper,1.0,0.636
292,Paper,Paper,Paper,0.0,0.634
293,Scissors,Scissors,Paper,-0.5,0.631
294,Rock,Rock,Paper,1.0,0.633
295,Rock,Rock,Paper,1.0,0.634
296,Rock,Rock,Paper,1.0,0.635
297,Rock,Rock,Paper,1.0,0.636
298,Rock,Rock,Paper,1.0,0.638
299,Scissors,Scissors,Paper,-0.5,0.635
300,Rock,Rock,Paper,1.0,0.637
301,Paper,Paper,Paper,0.0,0.635
302,Rock,Rock,Paper,1.0,0.636
303,Rock,Rock,Paper,1.0,0.637
304,Paper,Paper,Paper,0.0,0.635
305,Paper,Paper,Paper,0.0,0.633
306,Paper,Paper,Paper,0.0,0.631
307,Paper,Paper,Paper,0.0,0.629
308,Paper,Paper,Paper,0.0,0.627
309,Paper,Paper,Rock,-0.5,0.625
310,Scissors,Scissors,Rock,1.0,0.626
311,Paper,Paper,Paper,0.0,0.624
312,Paper,Paper,Rock,-0.5,0.622
313,Paper,Paper,Rock,-0.5,0.620
314,Paper,Paper,Rock,-0.5,0.618
315,Paper,Paper,Rock,-0.5,0.616
316,Paper,Paper,Rock,-0.5,0.614
317,Rock,Rock,Rock,0.0,0.612
318,Paper,Paper,Paper,0.0,0.610
319,Paper,Paper,Rock,-0.5,0.608
320,Paper,Paper,Paper,0.0,0.606
321,Paper,Paper,Rock,-0.5,0.604
322,Rock,Rock,Rock,0.0,0.602
323,Paper,Paper,Paper,0.0,0.601
324,Paper,Paper,Paper,0.0,0.599
325,Paper,Paper,Rock,-0.5,0.597
326,Paper,Paper,Rock,-0.5,0.595
327,Paper,Paper,Rock,-0.5,0.593
328,Scissors,Scissors,Rock,1.0,0.595
329,Paper,Paper,Paper,0.0,0.593
330,Rock,Rock,Rock,0.0,0.591
331,Paper,Paper,Paper,0.0,0.589
332,Paper,Paper,Rock,-0.5,0.587
333,Paper,Paper,Rock,-0.5,0.586
334,Rock,Rock,Rock,0.0,0.584
335,Scissors,Scissors,Paper,-0.5,0.582
336,Paper,Paper,Paper,0.0,0.580
337,Paper,Paper,Rock,-0.5,0.579
338,Paper,Paper,Paper,0.0,0.577
339,Paper,Paper,Rock,-0.5,0.575
340,Paper,Paper,Paper,0.0,0.574
341,Paper,Paper,Rock,-0.5,0.572
342,Paper,Paper,Rock,-0.5,0.570
343,Paper,Paper,Rock,-0.5,0.569
344,Paper,Paper,Rock,-0.5,0.567
345,Scissors,Scissors,Rock,1.0,0.568
346,Paper,Paper,Paper,0.0,0.566
347,Paper,Paper,Rock,-0.5,0.565
348,Paper,Paper,Rock,-0.5,0.563
349,Paper,Paper,Rock,-0.5,0.562
350,Paper,Paper,Rock,-0.5,0.560
351,Paper,Paper,Rock,-0.5,0.558
352,Paper,Paper,Rock,-0.5,0.557
353,Paper,Paper,Rock,-0.5,0.555
354,Paper,Paper,Rock,-0.5,0.554
355,Paper,Paper,Paper,0.0,0.552
356,Scissors,Scissors,Rock,1.0,0.553
357,Paper,Paper,Paper,0.0,0.552
358,Paper,Paper,Rock,-0.5,0.550
359,Scissors,Scissors,Paper,-0.5,0.549
360,Scissors,Scissors,Rock,1.0,0.550
361,Paper,Paper,Paper,0.0,0.548
362,Paper,Paper,Rock,-0.5,0.547
363,Paper,Paper,Rock,-0.5,0.545
364,Paper,Paper,Rock,-0.5,0.544
365,Paper,Paper,Rock,-0.5,0.542
366,Paper,Paper,Rock,-0.5,0.541
367,Paper,Paper,Paper,0.0,0.540
368,Rock,Rock,Paper,1.0,0.541
369,Paper,Paper,Paper,0.0,0.539
370,Paper,Paper,Paper,0.0,0.538
371,Paper,Paper,Rock,-0.5,0.536
372,Rock,Rock,Paper,1.0,0.538
373,Paper,Paper,Paper,0.0,0.536
374,Paper,Paper,Paper,0.0,0.535
375,Paper,Paper,Paper,0.0,0.533
376,Scissors,Scissors,Paper,-0.5,0.532
